"filename", "language", "JavaScript", "JSON", "JavaScript JSX", "PostCSS", "Markdown", "XML", "HTML", "comment", "blank", "total"
"c:\Users\4108231\Desktop\project_ie\my-vite-app\src\Page\Admin\AdminTraining\AdminWorkday\AdminWorkday.jsx", "JavaScript JSX", 0, 0, 69, 0, 0, 0, 0, 8, 9, 86
"c:\Users\4108231\Desktop\project_ie\my-vite-app\src\Page\Admin\AdminTraining\Admine-Jabilization\AdminEJabilization.jsx", "JavaScript JSX", 0, 0, 11, 0, 0, 0, 0, 1, 3, 15
"c:\Users\4108231\Desktop\project_ie\my-vite-app\src\Page\Admin\CollapsibleNavbar\CollapsibleNavbar.jsx", "JavaScript JSX", 0, 0, 213, 0, 0, 0, 0, 13, 15, 241
"c:\Users\4108231\Desktop\project_ie\my-vite-app\src\Page\Admin\CollapsibleNavbar\DashboardNavItem.jsx", "JavaScript JSX", 0, 0, 92, 0, 0, 0, 0, 3, 7, 102
"c:\Users\4108231\Desktop\project_ie\my-vite-app\src\Page\Admin\CollapsibleNavbar\MessagesCollapsibleNavbar.jsx", "JavaScript JSX", 0, 0, 111, 0, 0, 0, 0, 3, 6, 120
"c:\Users\4108231\Desktop\project_ie\my-vite-app\src\Page\Admin\CollapsibleNavbar\TopicsCollapsibleNavbar.jsx", "JavaScript JSX", 0, 0, 364, 0, 0, 0, 0, 10, 21, 395
"c:\Users\4108231\Desktop\project_ie\my-vite-app\src\Page\Admin\CollapsibleNavbar\TrainingsCollapsibleNavbar.jsx", "JavaScript JSX", 0, 0, 371, 0, 0, 0, 0, 13, 22, 406
"c:\Users\4108231\Desktop\project_ie\my-vite-app\src\Page\Admin\Dashboard\Dashboard.jsx", "JavaScript JSX", 0, 0, 10, 0, 0, 0, 0, 1, 3, 14
"c:\Users\4108231\Desktop\project_ie\my-vite-app\src\Page\Admin\Messages\ABox.jsx", "JavaScript JSX", 0, 0, 39, 0, 0, 0, 0, 1, 3, 43
"c:\Users\4108231\Desktop\project_ie\my-vite-app\src\Page\Admin\Messages\HeaderSection.jsx", "JavaScript JSX", 0, 0, 152, 0, 0, 0, 0, 1, 3, 156
"c:\Users\4108231\Desktop\project_ie\my-vite-app\src\Page\Admin\Messages\MessageCard.jsx", "JavaScript JSX", 0, 0, 314, 0, 0, 0, 0, 2, 5, 321
"c:\Users\4108231\Desktop\project_ie\my-vite-app\src\Page\Admin\Messages\Messages.jsx", "JavaScript JSX", 0, 0, 280, 0, 0, 0, 0, 11, 23, 314
"c:\Users\4108231\Desktop\project_ie\my-vite-app\src\Page\Admin\Messages\TabNavigation.jsx", "JavaScript JSX", 0, 0, 76, 0, 0, 0, 0, 1, 2, 79
"c:\Users\4108231\Desktop\project_ie\my-vite-app\src\Page\Auth\AuthContext.jsx", "JavaScript JSX", 0, 0, 195, 0, 0, 0, 0, 5, 27, 227
"c:\Users\4108231\Desktop\project_ie\my-vite-app\src\Page\Auth\Login.jsx", "JavaScript JSX", 0, 0, 202, 0, 0, 0, 0, 3, 22, 227
"c:\Users\4108231\Desktop\project_ie\my-vite-app\src\Page\Auth\Register.jsx", "JavaScript JSX", 0, 0, 206, 0, 0, 0, 0, 2, 24, 232
"c:\Users\4108231\Desktop\project_ie\my-vite-app\src\Page\Auth\tokenUtils.js", "JavaScript", 54, 0, 0, 0, 0, 0, 0, 1, 13, 68
"c:\Users\4108231\Desktop\project_ie\my-vite-app\src\Page\Css\Global.css", "PostCSS", 0, 0, 0, 1331, 0, 0, 0, 116, 273, 1720
"c:\Users\4108231\Desktop\project_ie\my-vite-app\src\Page\Gantt\GanttToolbar.jsx", "JavaScript JSX", 0, 0, 214, 0, 0, 0, 0, 2, 28, 244
"c:\Users\4108231\Desktop\project_ie\my-vite-app\src\Page\Gantt\GanttView.jsx", "JavaScript JSX", 0, 0, 211, 0, 0, 0, 0, 1, 28, 240
"c:\Users\4108231\Desktop\project_ie\my-vite-app\src\Page\Gantt\List.jsx", "JavaScript JSX", 0, 0, 234, 0, 0, 0, 0, 5, 13, 252
"c:\Users\4108231\Desktop\project_ie\my-vite-app\src\Page\Home\Announcements.jsx", "JavaScript JSX", 0, 0, 272, 0, 0, 0, 0, 6, 7, 285
"c:\Users\4108231\Desktop\project_ie\my-vite-app\src\Page\Home\CarouselHome.jsx", "JavaScript JSX", 0, 0, 181, 0, 0, 0, 0, 2, 15, 198
"c:\Users\4108231\Desktop\project_ie\my-vite-app\src\Page\Home\Contact.jsx", "JavaScript JSX", 0, 0, 363, 0, 0, 0, 0, 9, 23, 395
"c:\Users\4108231\Desktop\project_ie\my-vite-app\src\Page\Home\ContactModal.jsx", "JavaScript JSX", 0, 0, 67, 0, 0, 0, 0, 1, 3, 71
"c:\Users\4108231\Desktop\project_ie\my-vite-app\src\Page\Home\Home.jsx", "JavaScript JSX", 0, 0, 50, 0, 0, 0, 0, 1, 5, 56
"c:\Users\4108231\Desktop\project_ie\my-vite-app\src\Page\Home\Iedb.jsx", "JavaScript JSX", 0, 0, 135, 0, 0, 0, 0, 2, 16, 153
